playername,team,flag_reason,metric,metric_value,last_test_date
PLAYER_1216,"Group: 2023-2024 WBB, Group: Women's Basketball, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2934,2024-03-05 17:25:08
PLAYER_1217,"Group: Athletic Performance Staff, Team: Stony Brook",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2766,2023-11-29 13:59:48
PLAYER_1219,"Group: Athletic Performance Staff, Team: Stony Brook",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2624,2025-09-03 13:49:01
PLAYER_123,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2705,2023-11-30 17:49:08
PLAYER_1235,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2819,2023-02-16 13:25:40
PLAYER_1238,"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2964,2024-07-22 13:18:54
PLAYER_124,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2713,2025-01-18 18:37:22
PLAYER_1240,"Group: msoc, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2236,2022-01-20 20:37:50
PLAYER_1245,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1499,2025-01-18 18:41:12
PLAYER_1256,Player Not Found,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2339,2022-09-20 12:34:45
PLAYER_1259,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2799,2025-07-14 11:14:38
PLAYER_1259,Team: Stony Brook Womens Soccer,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1153.0,2025-07-14 11:14:38
PLAYER_129,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2614,2025-10-14 12:43:53
PLAYER_131,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2634,2024-08-29 15:38:55
PLAYER_133,Team: Stony Brook Volleyball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2847,2025-10-02 19:51:17
PLAYER_146,"Group: Athletic Performance Staff, Team: Stony Brook",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2799,2023-07-18 16:47:56
PLAYER_159,Team: Stony Brook Women's Basketball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2032,2025-03-04 21:06:26
PLAYER_167,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2842,2023-04-27 12:10:18
PLAYER_168,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2761,2025-10-14 12:46:36
PLAYER_176,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.255,2022-10-28 10:42:35
PLAYER_177,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2217,2023-02-16 13:32:51
PLAYER_178,Team: Stony Brook Women's T&F,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1183.0,2024-02-21 15:12:55
